date,cash,shares,close,equity
2024-03-01,9811.82,0,102.9,9811.82
2024-03-04,11.62,95,103.16,9811.82
2024-03-05,11.62,95,103.42,9836.52
2024-03-06,11.62,95,103.68,9861.22
2024-03-07,11.62,95,103.94,9885.92
2024-03-08,11.62,95,104.2,9910.62
2024-03-11,11.62,95,104.46,9935.32
2024-03-12,11.62,95,104.72,9960.02
2024-03-13,11.62,95,104.98,9984.72
2024-03-14,11.62,95,105.24,10009.42
2024-03-15,11.62,95,105.5,10034.12
2024-03-18,11.62,95,105.76,10058.82
2024-03-19,11.62,95,102.02,9703.52
2024-03-20,11.62,95,102.28,9728.22
2024-03-21,11.62,95,102.54,9752.92
2024-03-22,9777.62,0,102.8,9777.62
2024-03-25,9777.62,0,103.06,9777.62
2024-03-26,9777.62,0,103.32,9777.62
2024-03-27,9777.62,0,103.58,9777.62
2024-03-28,9777.62,0,98.26,9777.62
2024-03-29,9777.62,0,98.52,9777.62
2024-04-01,9777.62,0,98.78,9777.62
2024-04-02,9777.62,0,99.04,9777.62
2024-04-03,9777.62,0,99.3,9777.62
2024-04-04,9777.62,0,99.56,9777.62
2024-04-05,9777.62,0,99.82,9777.62
2024-04-08,9777.62,0,100.08,9777.62
2024-04-09,9777.62,0,100.34,9777.62
2024-04-10,9777.62,0,100.6,9777.62
2024-04-11,9777.62,0,100.86,9777.62
2024-04-12,9777.62,0,101.12,9777.62
2024-04-15,9777.62,0,101.38,9777.62
2024-04-16,20.18,96,101.64,9777.62
2024-04-17,20.18,96,101.9,9802.58
2024-04-18,20.18,96,102.16,9827.54
2024-04-19,20.18,96,102.42,9852.5
2024-04-22,20.18,96,102.68,9877.46
2024-04-23,20.18,96,102.94,9902.42
2024-04-24,20.18,96,103.2,9927.38
2024-04-25,20.18,96,103.46,9952.34
2024-04-26,20.18,96,107.72,10361.3
2024-04-29,20.18,96,107.98,10386.26
2024-04-30,20.18,96,108.24,10411.22
2024-05-01,20.18,96,108.5,10436.18
2024-05-02,20.18,96,108.76,10461.14
2024-05-03,20.18,96,109.02,10486.1
2024-05-06,20.18,96,109.28,10511.06
2024-05-07,20.18,96,109.54,10536.02
2024-05-08,20.18,96,109.8,10560.98
2024-05-09,20.18,96,110.06,10585.94
2024-05-10,20.18,96,104.74,10075.22
2024-05-13,20.18,96,105.0,10100.18
2024-05-14,20.18,96,105.26,10125.14
2024-05-15,10150.1,0,105.52,10150.1
2024-05-16,10150.1,0,105.78,10150.1
2024-05-17,10150.1,0,106.04,10150.1
2024-05-20,10150.1,0,106.3,10150.1
2024-05-21,10150.1,0,106.56,10150.1
2024-05-22,10150.1,0,106.82,10150.1
2024-05-23,10150.1,0,107.08,10150.1
2024-05-24,10150.1,0,107.34,10150.1
2024-05-27,10150.1,0,107.6,10150.1
2024-05-28,61.84,91,110.86,10150.1
2024-05-29,61.84,91,111.12,10173.76
2024-05-30,61.84,91,111.38,10197.42
2024-05-31,61.84,91,111.64,10221.08
2024-06-03,61.84,91,111.9,10244.74
2024-06-04,61.84,91,112.16,10268.4
2024-06-05,61.84,91,112.42,10292.06
2024-06-06,61.84,91,112.68,10315.72
2024-06-07,61.84,91,112.94,10339.38
2024-06-10,61.84,91,113.2,10363.04
2024-06-11,61.84,91,113.46,10386.7
2024-06-12,61.84,91,113.72,10410.36
2024-06-13,61.84,91,113.98,10434.02
2024-06-14,61.84,91,114.24,10457.68
2024-06-17,61.84,91,114.5,10481.34
2024-06-18,61.84,91,114.76,10505.0
2024-06-19,61.84,91,115.02,10528.66
2024-06-20,61.84,91,115.28,10552.32
2024-06-21,61.84,91,115.54,10575.98
2024-06-24,61.84,91,110.22,10091.86
2024-06-25,61.84,91,110.48,10115.52
2024-06-26,10139.18,0,110.74,10139.18
2024-06-27,10139.18,0,111.0,10139.18
2024-06-28,10139.18,0,111.26,10139.18
2024-07-01,10139.18,0,111.52,10139.18
2024-07-02,10139.18,0,111.78,10139.18
2024-07-03,10139.18,0,112.04,10139.18
2024-07-04,10139.18,0,112.3,10139.18
2024-07-05,10139.18,0,109.56,10139.18
2024-07-08,10139.18,0,109.82,10139.18
2024-07-09,10139.18,0,110.08,10139.18
2024-07-10,10139.18,0,110.34,10139.18
2024-07-11,10139.18,0,110.6,10139.18
2024-07-12,10139.18,0,110.86,10139.18
2024-07-15,10139.18,0,111.12,10139.18
2024-07-16,10139.18,0,111.38,10139.18
2024-07-17,10139.18,0,111.64,10139.18
2024-07-18,68.18,90,111.9,10139.18
2024-07-19,68.18,90,112.16,10162.58
2024-07-22,68.18,90,112.42,10185.98
2024-07-23,68.18,90,112.68,10209.38
2024-07-24,68.18,90,112.94,10232.78
2024-07-25,68.18,90,113.2,10256.18
2024-07-26,68.18,90,113.46,10279.58
2024-07-29,68.18,90,113.72,10302.98
2024-07-30,68.18,90,113.98,10326.38
2024-07-31,68.18,90,114.24,10349.78
2024-08-01,68.18,90,114.5,10373.18
2024-08-02,68.18,90,114.76,10396.58
2024-08-05,68.18,90,115.02,10419.98
2024-08-06,68.18,90,109.7,9941.18
2024-08-07,68.18,90,109.96,9964.58
2024-08-08,9987.98,0,110.22,9987.98
2024-08-09,9987.98,0,110.48,9987.98
2024-08-12,9987.98,0,110.74,9987.98
